微博id,微博url,评论id,评论者url,评论者名字,评论时间,评论内容
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004114440902651,http://weibo.com/s1mplex,超级无敌可爱的越南黄金金,8月2日 19:52 ,"
            回复@david的日与夜:日本和美国好像其实也是先预测在珠江口西岸登陆……刚开始好像只有香港报东岸。 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004113052653495,http://weibo.com/1677137790,david的日与夜,8月2日 19:46 ,"
            回复@超级无敌可爱的越南黄金金:香港天文台的预测太准了，反观中央气象台，一直坚持珠江口西岸登陆到昨晚。 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004088875982279,http://weibo.com/5657124101,needyounowhsq,8月2日 18:10 ,"
            回复@菲比幸福:y "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004073667298305,http://weibo.com/5574047492,剑正天下228,8月2日 17:10 ,"
            领倒们表示很不高兴 数亿的酒灾款没了，马德 只能说【广州台】疯了，东方的台风节彻底粉碎了西方的愚人节 ，西方的愚人节只是草民们乐呵乐呵 而我们东方的台风节 全民抗疯 正腐、专家炎症以待，陆海空 北斗卫星齐声唤 西方繁华势力笑曰 眼袭！ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004072858366625,http://weibo.com/2750516964,淡几A啊,8月2日 17:07 ,"
            台风的预报越准确，防范做好了，损失就小了。 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004072195781960,http://weibo.com/3563517932,我曾经像他像你像那野草野花,8月2日 17:04 ,"
            白赚了一天假 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004071674992550,http://weibo.com/1978180843,码头小兵一枚,8月2日 17:02 ,"
            有备无患 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004071138990691,http://weibo.com/beartor,黄大仙今年要亲眼看灿白,8月2日 17:00 ,"
            威马逊记忆犹新..反正海口市瘫痪了很久就对了 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003745685580636,http://weibo.com/5516783944,sdy久着久着就旧了,8月1日 19:27 ,"
            集体旷工  身体重要还是业绩重要 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003732913591870,http://weibo.com/1827185747,Eric___Lam,8月1日 18:36 ,"
            我公司调休了  星期六上班 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003731534537969,http://weibo.com/huhujianfei,叫我如何爱上一个,8月1日 18:30 ,"
            辞职以后拉黑他 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003731252607136,http://weibo.com/2563903191,W-Delies,8月1日 18:29 ,"
            遇见这种公司就辞了吧 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003813440444574,http://weibo.com/1438455872,皓钰微凉开小花,8月1日 23:56 ,"
            万恶的资本家！ "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003775359768203,http://weibo.com/1835134435,榴莲翁,8月1日 21:24 ,"
            这里引用彩虹合唱团：“辞职以后拉黑他。” "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003731882580899,http://weibo.com/1915448043,chen_oc,8月1日 18:32 ,"
            还很贴心的样子→_→ "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003750840262855,http://weibo.com/shadow6948,懸児_,8月1日 19:47 ,"
            看起来很贴心的样子… "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003734851883702,http://weibo.com/rfincn,努力飞回去,8月1日 18:43 ,"
            HR的智商被台风吹走了吧 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003735824880785,http://weibo.com/2275771612,肥仔王小虎,8月1日 18:47 ,"
            红盾网没查到有这个公司，目测为P图 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4004024602544001,http://weibo.com/5607892435,盐酸氨溴索1983,8月2日 13:55 ,"
            回复@小_香_子_:为公司卖命 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4004013777815188,http://weibo.com/1766203341,腾爱sandy-,8月2日 13:12 ,"
            无良公司！由于强台风降临，我们公司都放假一天了。在这种公司上班，不如辞了吧！ "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4004010891373673,http://weibo.com/1912075622,helix_shell,8月2日 13:00 ,"
            公司 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4004000049325784,http://weibo.com/dzy829475,yuki_戴智芸,8月2日 12:17 ,"
            回复@贰得很有范er: "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003988632169812,http://weibo.com/chenzaijiao,CARREN-CHEN,8月2日 11:32 ,"
            就算大雨让这座城市颠倒，我们依然要准时打卡。。。 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003980557996205,http://weibo.com/5096496081,_Daisy_zero,8月2日 11:00 ,"
            直接不干了 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003975662950701,http://weibo.com/5777361813,姚峰斌_yofb,8月2日 10:40 ,"
            有这个公司？ "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003973444313535,http://weibo.com/2801903023,我心卓越,8月2日 10:32 ,"
            禽兽～ "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003969376073978,http://weibo.com/5748124419,风逝花凋雪融月缺,8月2日 10:15 ,"
            我还能说什么 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003969128877255,http://weibo.com/ggum319,Gumgor,8月2日 10:14 ,"
            回复@Eric___Lam:我也是，真想哭 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003967950298031,http://weibo.com/w3060,厦门柒月青年旅舍,8月2日 10:10 ,"
            真体贴啊~提早到就可以避开台风 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003965709895808,http://weibo.com/3279214551,倩倩倩倩潴HELEN,8月2日 10:01 ,"
            靠，真是不把政府发的通告当回事啊 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003965487556724,http://weibo.com/gaozhiwei520,王择东,8月2日 10:00 ,"
            图片评论  "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003963277973355,http://weibo.com/2357957093,泡芙味的布布,8月2日 09:51 ,"
            本来昨晚还锻炼员工毅力让他们今天继续上班，今天七点多起来发现风雨好像有点大，感觉不对劲立马在群里叫停，让他们在家上班 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003962724024846,http://weibo.com/3919444023,Cherr叶,8月2日 09:49 ,"
            这个公司也是醉了，早上六点半起床的时候外面已经狂风暴雨了，出门一秒钟湿透全身 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003962531465713,http://weibo.com/5642841840,正经的小胖手,8月2日 09:48 ,"
            回复@先知但以理:汗，仲裁了你以为公司能留你？以后的公司看到你这样跟公司对着干，他们会留你？饭碗面前不为难还是低头吧 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003961226690917,http://weibo.com/ruowei99,我系大若若,8月2日 09:43 ,"
            哎呦卧槽 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003960324454685,http://weibo.com/zixuanxl,徐雷miroxl,8月2日 09:39 ,"
            这个是假的。已经辟谣。根本没有这家公司。官微博主，注意不要传谣 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003959288642192,http://weibo.com/zengxiaodi892404355,绿影闪电,8月2日 09:35 ,"
            每个公司责任不同，没什么新奇的。解放军、武警、公安部门、气象部门、新闻记者、医院等等……不是都都在上班吗？还没有加班费 "
cc31886455108758360fb714640da4bd,http://weibo.comhttp://weibo.com/1763864272/E1z3s3Vgr,4003958542055985,http://weibo.com/2809164802,Wxxxxxxxxxxxxw,8月2日 09:32 ,"
            老板说，我不接受你的建议 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003627536794786,http://weibo.com/mahuamao,我是小马同学,8月1日 11:37 ,"
            这叫菊花一紧吗？ "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003676450732920,http://weibo.com/5799359923,淡然魅Max,8月1日 14:51 ,"
            广东潮汕地区早上明显降温，比昨天清凉很多，此时在下大雨配合大风，应该是台风雨，已经有台风逼近的感觉了，那明天是不是出不去了@中国气象爱好者 @中国气象局  "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003619101640385,http://weibo.com/2768354821,Grace世芯,8月1日 11:04 ,"
            没有尼伯特好看 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003655763877213,http://weibo.com/1370681400,ointments,8月1日 13:29 ,"
            希望不要去深圳。 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003625128930659,http://weibo.com/shuminluo,ShukmanLo,8月1日 11:27 ,"
            珠三角人民跪求别加强 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003636143434788,http://weibo.com/1731212025,天使的指纹_Ya,8月1日 12:11 ,"
            广西大部分都会下雨，除了沿海的钦州北海防城港？！ "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003682633102250,http://weibo.com/5141542103,雯子ykyxdsn,8月1日 15:16 ,"
            台风是不可避免的，自然灾害，反正我是见怪不怪了，注意预防 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003709027465612,http://weibo.com/coming1992,Yming烨,8月1日 17:01 ,"
            好想插进去 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003675976396639,http://weibo.com/3656715310,Duffy__,8月1日 14:49 ,"
            动图感觉要把人吸进去，恐怖 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003619474877932,http://weibo.com/5332940608,温州气象爱好者,8月1日 11:05 ,"
            终于换小编了 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4004213174544838,http://weibo.com/2844013002,Li_shi_chao_,8月3日 02:24 ,"
            菊花一紧的即视感 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003998056752756,http://weibo.com/5141542103,雯子ykyxdsn,8月2日 12:09 ,"
            回复@散落一地嘚繁华:好吧多谢指教 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003997436466402,http://weibo.com/2013785567,散落一地嘚繁华,8月2日 12:07 ,"
            回复@雯子ykyxdsn:这是自然现象  没有台风  现在的很多亚热带将变成沙漠 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003996911900814,http://weibo.com/5141542103,雯子ykyxdsn,8月2日 12:05 ,"
            回复@散落一地嘚繁华:如果台风很强，造成危害，带来的不只是降温降雨 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003995636484713,http://weibo.com/2013785567,散落一地嘚繁华,8月2日 12:00 ,"
            回复@雯子ykyxdsn:自然灾害？没有台风 你知道地球会变成什么样子吗 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003986484513715,http://weibo.com/1763195163,蔡琳LLL,8月2日 11:23 ,"
            可怕 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003966503344460,http://weibo.com/1488583754,一个人的爱达和,8月2日 10:04 ,"
            河南2岁女童辛怡被妈妈和情夫用胶布捆绑！用烟头烫四肢！被刀割！直接头朝地砸地上！然后倒立床边半小时二人却在寻欢！孩子昏迷至今十个月了！孩子爸爸@张少峰_61512 仍在坚持治疗和上诉！希望大家把我赞上去让更多人看到，谢谢大家！@早安辛怡 #爱心接力拯救沉睡天使# "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003965416521993,http://weibo.com/gaozhiwei520,王择东,8月2日 10:00 ,"
            图片评论  "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003951474927153,http://weibo.com/1915121144,嗯哼叫我小莉莉,8月2日 09:04 ,"
            回复@蝉鸣在夏季_:看过 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003951076564237,http://weibo.com/2813557142,洗垃圾桶的腿子卡,8月2日 09:03 ,"
            回复@贴贴贴贴贴贴贴贴酱:第一次看到这个 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003950555970272,http://weibo.com/xiayoulin,贴贴贴贴贴贴贴贴酱,8月2日 09:01 ,"
            @淙曳 @洗垃圾桶的腿子卡 @鱼香鸡丝yuxiangji "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003947365073653,http://weibo.com/5339964656,iiv冬,8月2日 08:48 ,"
            大自然的威力！ "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003936007084236,http://weibo.com/lwp0512,萍瓶坪子,8月2日 08:03 ,"
            @盛灰决定改回这又长又霸气的名字 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003932529054045,http://weibo.com/1831676891,吧啦cui铃君,8月2日 07:49 ,"
            感觉好恶心 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003931954139781,http://weibo.com/5828404594,这是你的微博名吗,8月2日 07:47 ,"
            我天，好像泥沼 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003929698173901,http://weibo.com/3216774953,除人JM变乖咯,8月2日 07:38 ,"
            感觉就要被强力吸进去一样 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003920206433321,http://weibo.com/5086235689,6685123l,8月2日 07:00 ,"
            ...... "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003917505435985,http://weibo.com/1768291094,如何耐如何,8月2日 06:49 ,"
            (⊙o⊙)…。。。。没我们这边什么事嘛 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003914862918380,http://weibo.com/5835599404,天俊baby,8月2日 06:39 ,"
            看着有点怕，现在深圳刮大风下大雨 "
9b1181502c60cbfd449126366e7d3ab2,http://weibo.comhttp://weibo.com/1763864272/E1w89eOgt,4003911851821169,http://weibo.com/1747799944,selina-zlq,8月2日 06:27 ,"
            好恐怖 "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003936283306666,http://weibo.com/wudanhk,玉妆台,8月2日 08:04 ,"
            辛苦了!注意安全 "
