发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-02 18:11:54,http://weibo.comhttp://weibo.com/2112562110/E1InreAyd,4d25c5c63ac4733fb1522b772d075a13,                                                    在嵩山少林寺拍到电闪雷鸣的瞬间，太漂亮了#台风妮妲#U少林寺 2郑州·少林寺 L秒拍视频 .                                            ,,"
                        功夫-正能量",http://weibo.com/u/2112562110?refer_flag=1008085010_,2016-08-08 10:46:45, 1, 11,15
2016-08-02 18:10:59,http://weibo.comhttp://weibo.com/1635672560/E1In4ggci,c6c7285a975f29a554f784434fb136e2,                                                    #台风妮妲# 续上。昨晚听说好多人去超市囤货，我好淡定，想着家里有米有米粉有鸡蛋有奶粉，怎么都能凑合着吃。谁想居然能停电，水都没得喝。。教训：下次台风来之前，应该囤面包囤水，这样就算断水断电也不断粮。。今天做得唯一有意义的一件事就是开了个PI 2深圳                                            ,,"
                        Laneyong",http://weibo.com/zi123?refer_flag=1008085010_,2016-08-08 10:46:45,0,0,0
2016-08-02 18:10:39,http://weibo.comhttp://weibo.com/1361019592/E1ImVCwz0,9cdd67214cd0a15988078ef340290852,                                                    因为#台风妮妲# 放假一天，才有如此早的晚餐。                                            ,,"
                        彷徨的小丑",http://weibo.com/u/1361019592?refer_flag=1008085010_,2016-08-08 10:46:45,0, 2,3
2016-08-02 18:07:54,http://weibo.comhttp://weibo.com/1792776434/E1IlOvB3Z,f4fd661072b42c81cfb7b21a5a698994,                                                    台风过后的狼藉！#台风妮妲#                                            ,http://ww4.sinaimg.cn/thumb180/6adb98f2gw1f6fk9xj24wj20qo0zkqfk.jpg	http://ww2.sinaimg.cn/thumb180/6adb98f2gw1f6fk9yhk9gj20qo0zkh09.jpg	http://ww1.sinaimg.cn/thumb180/6adb98f2gw1f6fk9zba1mj20qo0zkqhm.jpg,"
                        华奇葩",http://weibo.com/u/1792776434?refer_flag=1008085010_,2016-08-08 10:46:45,0, 2,0
2016-08-02 18:07:19,http://weibo.comhttp://weibo.com/5708781217/E1IlA1rpx,ff8d2677555163a17bbe85b98db72beb,                                                    据可靠消息，台风妮妲在我省沿海登陆时，竟然忘了登陆密码，至今无法登陆，大家不必恐慌，该干嘛干嘛去吧   #台风妮妲#                                            ,,"
                        菇凉青春精灵",http://weibo.com/u/5708781217?refer_flag=1008085010_,2016-08-08 10:46:45,0,0,0
2016-08-02 18:06:17,http://weibo.comhttp://weibo.com/1635672560/E1IlakF91,1a1d9c4f300455c43a1692870623c8de,                                                    #台风妮妲# 老板开恩，停工一日，在家hea。今早停电，没WiFi，接着连4G 3G 2G也连不上。然后，没电连中午饭都没得吃了。老公出去转悠半天，超市小店等统统不做生意，因为停电没办法收银，好任性。好不容易走了大老远打包两个饭盒归来，电就来了。未完待续. 2深圳                                            ,http://ww2.sinaimg.cn/orj480/617e61f0gw1f6fk0u5slaj20hs0vkdik.jpg	http://ww4.sinaimg.cn/orj480/617e61f0gw1f6fk1kj65zj20g40dst9o.jpg,"
                        Laneyong",http://weibo.com/zi123?refer_flag=1008085010_,2016-08-08 10:46:45,0,0,1
2016-08-02 18:06:11,http://weibo.comhttp://weibo.com/2786705850/E1Il7ndlY,0537de921a8997c92c71deaf96dac748,                                                    #台风妮妲##台风妮妲阴谋论#        \'约\'会  一震一风似阴谋 天气战争生妮妲 剑指要害珠三角 妮妲唯为生活鲜 一阵游风倾耳过 万林从中只君行 一人一山品味道 残叶断枝遍荆棘 微风拂过独自新 妮妲晚上约吗？ 十八仙君为我证                                            ,,"
                        Jerky_University",http://weibo.com/u/2786705850?refer_flag=1008085010_,2016-08-08 10:46:45, 1,0,1
2016-08-02 18:05:33,http://weibo.comhttp://weibo.com/1864545571/E1IkS0aGJ,380a3c0ad7a001c6d9b66532e3cd0a97,                                                    白石洲的🌲都倒了#台风妮妲#                                            ,http://ww4.sinaimg.cn/thumb180/6f22b523gw1f6fk7hc314j20ku0rsdp0.jpg	http://ww1.sinaimg.cn/thumb180/6f22b523gw1f6fk7hxatbj20ku0rsgua.jpg	http://ww4.sinaimg.cn/thumb180/6f22b523gw1f6fk7gvv0fj20ku0rsthd.jpg,"
                        儲哥的纠结人生",http://weibo.com/u/1864545571?refer_flag=1008085010_,2016-08-08 10:46:45,0, 1,0
2016-08-02 18:05:23,http://weibo.comhttp://weibo.com/5799396586/E1IkNhwXH,ef70b1cff6310637d19322fe9235a590,"                                                    ""广东惠州：风暴潮来袭 惊涛拍岸#关注妮妲台风# #台风妮妲# "",L秒拍视频（使用#秒拍#录制）                                            ",,"
                        幽默趣事大百科",http://weibo.com/u/5799396586?refer_flag=1008085010_,2016-08-08 10:46:45,0,0,1
2016-08-02 18:04:55,http://weibo.comhttp://weibo.com/5799396586/E1IkBrw0r,53247f0a14e38efbe87448c0f3c0aada,"                                                    ""#关注妮妲台风#台风“妮妲”今天凌晨登陆深圳，途径广州。受强风及天文大潮影响，海浪不断升高，淹没广州滨海公园内沿江的滨江绿道。（央视记者李洪淼 刘雨 刘红岩）#关注妮妲台风# #台风妮妲# ""L秒拍视频（使用#秒拍#录制）                                            ",,"
                        幽默趣事大百科",http://weibo.com/u/5799396586?refer_flag=1008085010_,2016-08-08 10:46:45,0,0,1
