发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-01 14:27:41,http://weibo.com/2015316631/E1xtWiQer?from=page_1001062015316631_profile&wvr=6&mod=weibotime,0bf882647a261352c346dddba114f68b,"
                                                                                                    东莞市风暴潮预警级别为红色#“妮妲”袭击珠三角#//@东莞天气: 预计今明两天，由于风暴潮与天文潮高潮位的叠加可能产生严重的风暴潮灾害，广东省珠江口沿海将出现80到220厘米的风暴增水，目前东莞市风暴潮预警级别为红色，请沿岸低洼地区严防海水倒灌，做好防台防潮准备。@国家海洋预报台                                            
                                                                                                    一起来认识【台风风暴潮】，请戳图↓#“妮妲”袭击珠三角#                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,1,0,2
2016-08-01 14:26:31,http://weibo.com/2015316631/E1xtt5Lek?from=page_1001062015316631_profile&wvr=6&mod=weibotime,eab986c06590a3971a760da8c69ed050,"
                                                                                                    目前正值天文高潮期，需警惕风暴潮叠加天文潮对沿海港口、海堤及相关设施造成的危害。//@深圳天气:  2日凌晨5时-10时正值天文大潮，潮位最高时出现在10时左右，届时强降雨时段可能与当日涨潮时段高潮位叠加，历史上类似登陆珠江口附近台风引发的风暴潮增水可达1米以上，建议及早落实防范措施。                                            
                                                                                                    明天早晨珠三角将会面临#风雨潮三碰头#防洪防台形势刻不容缓，希望大家提高警惕@深圳天气                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,0,1,7
2016-08-01 14:20:06,http://weibo.com/2015316631/E1xqRq8S5?from=page_1001062015316631_profile&wvr=6&mod=weibotime,14afa654f802c94e05c59359652e75ce,"
                                                                                                    好紧张好紧张~“防御电量”记得充满格~                                            
                                                                                                    #台风妮妲影响深圳#【450公里以内！】下午13时，女神“妮妲”已进入我市450公里以内，有木有感受到一丝紧张的气息？童鞋们还有时间做好准备，排除安全隐患，减少或避免财产损失。                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,3,10,10
2016-08-01 14:19:01,http://weibo.com/2015316631/E1xqpDtNU?from=page_1001062015316631_profile&wvr=6&mod=weibotime,0355ca43bde476c81322f349c0f597df,"
                                                                                                    配图满分                                            
                                                                                                    【停课！】台风“妮妲”女神，将成为2012年“韦森特”之后，影响我市强度最强、距离最近、影响最严重的台风！O台风黄色预警信号已生效！停课！                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,7,7,25
2016-08-01 14:09:17,http://weibo.com/2015316631/E1xmt01RN?from=page_1001062015316631_profile&wvr=6&mod=weibotime,b18e15276c3a35245262b3eb59ced81c,"
                                                                                                    #“妮妲”袭击珠三角#【小编追风情报2】目前珠海市台风黄色预警信号正生效，台风“妮妲”已进入南海东北部海面，8月1日白天到2日，万山区附近海域将受台风正面袭击影响，风浪将明显增大。香洲港往返桂山岛、外伶仃岛、东澳岛、万山岛、担杆岛航班8月1日下午及8月2日全天停航，请已购票以上时间航班的旅...展开全文c                                            ",http://ww2.sinaimg.cn/orj480/781f4a97gw1f6e7pqanfdj20pm0zk0v1.jpg	http://ww3.sinaimg.cn/orj480/781f4a97gw1f6e7px4us5j20zk0qodj2.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,4,16,17
2016-08-01 13:42:53,http://weibo.com/2015316631/E1xbKr24b?from=page_1001062015316631_profile&wvr=6&mod=weibotime,94febe7cab8ba1e5936589a4d4f86c16,"
                                                                                                    #“妮妲”袭击珠三角#【小编追风情报1】8月1日11时，广东省气象局追风小组抵达珠海情侣路的海滨公园。目前海边风平浪静，工作人员正在把遮阳棚、架子等设备拆掉，以防被强风吹走。珠海台风黄色预警信号正在生效中，所有幼儿园、中小学校、职业技术学校停课。预计，台风“妮妲”将于明日（8月2日）正面...展开全文c                                            ",http://ww4.sinaimg.cn/orj480/781f4a97gw1f6e6zs0pzaj20qo0hsn02.jpg	http://ww2.sinaimg.cn/thumb180/781f4a97gw1f6e6zs7wp9j20qo0hsmz1.jpg	http://ww4.sinaimg.cn/thumb180/781f4a97gw1f6e6zsyotzj20qo0hs76g.jpg	http://ww3.sinaimg.cn/thumb180/781f4a97gw1f6e6ztgma0j20qo0hsjt9.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,18,43,19
2016-08-01 13:36:07,http://weibo.com/2015316631/E1x90bjF9?from=page_1001062015316631_profile&wvr=6&mod=weibotime,6111c9100af359b067632bf40b4a46eb,"
                                                                                                    看看“妮妲”那只盯着广东的“大眼睛”！#“妮妲”袭击珠三角#                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,22,32,33
2016-08-01 13:19:12,http://weibo.com/2015316631/E1x28od8J?from=page_1001062015316631_profile&wvr=6&mod=weibotime,39265dfdaae359729838cdb8c5010c12,"
                                                                                                    【“妮妲”风力影响】预计，8月1日-3日，南海北部、广东省海面风力将逐渐加大到11～12级阵风14级，其中台风中心经过的附近海面旋转风13～15级；台湾海峡8～9级阵风10级。海上船只和作业人员应回港避风，关闭海边和海岛旅游项目；目前还正值天文高潮期，需警惕风暴潮叠加天文潮对沿海港口、海堤及相关设...展开全文c                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,20,16,9
2016-08-01 12:39:51,http://weibo.com/2015316631/E1wMacNNN?from=page_1001062015316631_profile&wvr=6&mod=weibotime,0d4180fbd49162c80a5c47d9b6ddbff6,"
                                                                                                    一起来认识【台风风暴潮】，请戳图↓#“妮妲”袭击珠三角#                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,23,3,7
2016-08-01 12:18:33,http://weibo.com/2015316631/E1wDw9YoD?from=page_1001062015316631_profile&wvr=6&mod=weibotime,be1cf7f3b2c9d58f430b6955409f14d6,"
                                                                                                    【汕头台风黄色预警】预计，受台风“妮妲”影响，汕头沿海陆地风力将达到8级或以上，汕头市气象台1日12时11分将台风蓝色预警信号升级为台风黄色预警信号，请注意防御。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,3,5,12
2016-08-01 12:13:52,http://weibo.com/2015316631/E1wBCfWsD?from=page_1001062015316631_profile&wvr=6&mod=weibotime,eeb0e603b4b968e22e226510a91b658c,"
                                                                                                    【中山台风黄色预警】台风“妮妲”将正面袭击珠江口附近地区，中山市气象台2016年8月1日11时46分升级台风预警信号为黄色，请做好防御工作。中山市教育和体育局宣布：全市中小学、托幼机构停课。各类托管中心、教育培训中心参照执行。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:40,1,2,12
