发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-06-27 16:00:19,http://weibo.com/2015316631/DCbAttz8I?from=page_1001062015316631_profile&wvr=6&mod=weibotime,9bc0d77673c2b89b98105b69c2b99d73,"
                                                                                                    “广东天气”微信实景拍天气，以下是网友们发来的现场照片，经过筛选，以下友友们分享的照片均可获得红包奖励哦~由于只能发9张图片，其他美图可以到“广东天气”微信里查看哦：O网页链接                                            ",http://ww2.sinaimg.cn/thumb180/781f4a97gw1f59u9nbg5wj20qo0zkdii.jpg	http://ww3.sinaimg.cn/thumb180/781f4a97gw1f59u9nrezsj20zk0zk416.jpg	http://ww2.sinaimg.cn/thumb180/781f4a97gw1f59u9oaodcj20zk0qowgt.jpg	http://ww2.sinaimg.cn/thumb180/781f4a97gw1f59u9ocm5zj20vw0k0mz9.jpg	http://ww4.sinaimg.cn/thumb180/781f4a97gw1f59u9omtxwj20zk0nqac6.jpg	http://ww2.sinaimg.cn/thumb180/781f4a97gw1f59u9ouf0oj20zk0qodhd.jpg	http://ww1.sinaimg.cn/thumb180/781f4a97gw1f59u9pcaf7j20qo0zk416.jpg	http://ww1.sinaimg.cn/thumb180/781f4a97gw1f59u9q4uy6j20zk0qojx3.jpg	http://ww3.sinaimg.cn/thumb180/781f4a97gw1f59u9u61z6j20zk0qojta.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,3,3,12
2016-06-27 15:09:50,http://weibo.com/2015316631/DCbfZb6hy?from=page_1001062015316631_profile&wvr=6&mod=weibotime,4e1e3c45f61effc1f8a6d3d38b29b877,"
                                                                                                    听闻某地又出现一起严重的汽车自燃事故，心惊惊 高温天气，容易导致此类事故发生，下图教你如何预防，用力戳！                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,4,1,6
2016-06-27 14:57:05,http://weibo.com/2015316631/DCbaOdRph?from=page_1001062015316631_profile&wvr=6&mod=weibotime,6933a44ce371ce7d4dc8f6b417ad5312,"
                                                                                                    【炎热OR雷雨选其一】中午星星点点的局部雷雨云开始冒泡，下午逐渐发福扩张。一个有趣的现象是，气温相对高的地方往往是雷雨的空缺区。所以您是宁愿承受炎热呢？还是被雨局部呢？                                            ",http://ww1.sinaimg.cn/orj480/781f4a97gw1f59sc2s9avj20wo0acmxx.jpg	http://ww1.sinaimg.cn/orj480/781f4a97gw1f59sc25bfuj20n70jfwg8.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,0,7,3
2016-06-27 10:55:44,http://weibo.com/2015316631/DC9AQrii9?from=page_1001062015316631_profile&wvr=6&mod=weibotime,cba5eee901969e9f9d31698308ed31cb,"
                                                                                                    【阳光是主角 阵雨跑龙套】预计，未来三天我省继续受副热带高压控制，天气炎热，紫外线强，大部市县最高气温介于33～36℃之间，请注意做好防暑防晒工作；同时受活跃的南海季风槽影响，我省（雷）阵雨明显，局地有强雷雨和8级左右短时大风，请注意防御局地强雷雨和短时大风。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,4,4,5
2016-06-27 09:06:21,http://weibo.com/2015316631/DC8SrC2iA?from=page_1001062015316631_profile&wvr=6&mod=weibotime,baffa33cf29443cbc7e6b2422c595cd9,"
                                                                                                    好吧，我发现我的智商还不如...                                            
                                                                                                    一个妈妈发现宝宝越狱了。。。。她让宝宝重新演示一遍……于是拍到了这一幕……好机智！                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,27,9,33
2016-06-26 16:52:54,http://weibo.com/2015316631/DC2vk6LEP?from=page_1001062015316631_profile&wvr=6&mod=weibotime,6e63fd8a8e2050d9f9f8362d0801c028,"
                                                                                                    阵雨这家伙，还是有点用的哈，消消暑，降降温，挥一挥衣袖，留下些许清凉！16时高要仅26.1℃，揭阳26℃，平远则37.1℃，粤北一片36℃，这温差达10℃！当然，“被局部”的小伙伴们要注意注意防御局地强雷雨和短时大风！                                            ",http://ww1.sinaimg.cn/orj480/781f4a97gw1f58q5l0ztsj20up0jk4cd.jpg	http://ww1.sinaimg.cn/orj480/781f4a97gw1f58q5lmsqlj20oj0jnwjb.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,2,15,13
2016-06-26 14:42:19,http://weibo.com/2015316631/DC1Ek14A3?from=page_1001062015316631_profile&wvr=6&mod=weibotime,ddafcf716df6757214b742b0d5947104,"
                                                                                                    从南部沿海一步步向北推进，红红火火，密密麻麻，星星点点，你还有啥词？                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,7,26,12
2016-06-26 10:59:40,http://weibo.com/2015316631/DC0bWyBoD?from=page_1001062015316631_profile&wvr=6&mod=weibotime,2491196ef3ed6c1385bcd88fc458b2f0,"
                                                                                                    【炎热是主旋律】未来三天继续受副热带高压控制，天气炎热，紫外线强，大部市县最高气温介于34～36℃之间，少数市县37℃以上；但受活跃的南海季风槽影响，我省（雷）阵雨趋于明显，局地有强雷雨和8级左右短时大风。天气炎热，请注意防暑防晒；及请注意防御局地强雷雨和短时大风。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,8,4,10
2016-06-26 10:19:41,http://weibo.com/2015316631/DBZVImGQB?from=page_1001062015316631_profile&wvr=6&mod=weibotime,49c634a7da3f69fde454d8a920ca9f3c,"
                                                                                                    这是啥？怎么形成的？详细内容请戳 O印度上空上演罕见彩虹云 系正常的大气现象  //@广东天气: 惠州也有小伙伴看到啦，好运好运~                                            
                                                                                                    不经意的抬头，发现了无限的美，彩色的云，是不是暴雨前的秀？@惠州天气 @广东天气 @中国气象爱好者 2惠州·河南岸街区                                                            ",http://ww2.sinaimg.cn/thumb180/7123f1eegw1f57mlo8gbpj20vp0hsjsa.jpg	http://ww2.sinaimg.cn/thumb180/7123f1eegw1f57mlokogkj20hs0vpwew.jpg	http://ww3.sinaimg.cn/thumb180/7123f1eegw1f57mlpd6uij20vp0hsdgp.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,5,3,7
2016-06-26 09:54:06,http://weibo.com/2015316631/DBZLl5ZtL?from=page_1001062015316631_profile&wvr=6&mod=weibotime,1fe1e64a87031ec25dc9bfada0b7c705,"
                                                                                                    惠州也有小伙伴看到啦，好运好运~                                            
                                                                                                    不经意的抬头，发现了无限的美，彩色的云，是不是暴雨前的秀？@惠州天气 @广东天气 @中国气象爱好者 2惠州·河南岸街区                                                            ",http://ww2.sinaimg.cn/thumb180/7123f1eegw1f57mlo8gbpj20vp0hsjsa.jpg	http://ww2.sinaimg.cn/thumb180/7123f1eegw1f57mlokogkj20hs0vpwew.jpg	http://ww3.sinaimg.cn/thumb180/7123f1eegw1f57mlpd6uij20vp0hsdgp.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:06:48,14,7,11
