发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-01 22:24:32,http://weibo.com/2015316631/E1ABudLs8?from=page_1001062015316631_profile&wvr=6&mod=weibotime,f61cea4f7e939f90e4be9aa7a372aa08,"
                                                                                                    深圳的朋友们注意！                                            
                                                                                                    #深圳台风#【台风红色史上首发！停工停业停市停课！】@深圳天气 ：深圳市政府提醒:台风红色预警1日17时发布，深圳进入台风特别紧急防御状态，启动防台风和防汛I级应急响应，在I级应急响应期间，深圳停工停业停市停课，请市民留在安全地方，并互相转告。                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,10,9,15
2016-08-01 21:46:27,http://weibo.com/2015316631/E1Am1F3b3?from=page_1001062015316631_profile&wvr=6&mod=weibotime,f30ade9915f99d65dc4ceab56bf2bcb9,"
                                                                                                    #“妮妲”袭击珠三角#如果你已经安全回家，备好了水、食物、充电宝。那么不妨再花点时间在窗玻璃上用胶布贴成“米”字图形，以防窗玻璃破碎。因为风力较大时常常会刮起杂物砸损玻璃，这个时候贴上“米”字可以部分预防碎玻璃伤人。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,29,24,37
2016-08-01 21:24:18,http://weibo.com/2015316631/E1Ad2nWIl?from=page_1001062015316631_profile&wvr=6&mod=weibotime,bfaf1e7aaf852089195804c213175d43,"
                                                                                                    江门的朋友们注意！                                            
                                                                                                    【“三停”提醒】根据《江门市防风防汛全民动员令》，8月1日17时，市三防指挥部启动防风Ⅰ级应急响应，在Ⅰ级响应期间全市范围内实行“三停”即:停工（业）、停产、停课。除确保足够的防灾救灾力量和应急值守人员外，不涉及国计民生和城市运行的企业事业单位可安排放假或换休一天；禁止举办各种户外集...展开全文c                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,1,6,16
2016-08-01 21:10:56,http://weibo.com/2015316631/E1A7CoFrh?from=page_1001062015316631_profile&wvr=6&mod=weibotime,5ae6ff1bd2cb31d4be5cf6059ffc9704,"
                                                                                                    为切实做好强台风“妮妲”防御工作，确保人民群众生命财产安全，省人民政府紧急宣布，全省从8月1日17时起进入防风Ⅰ级应急响应状态，详情请戳→广东省人民政府关于切实做好台风“妮妲”防御工作的紧急动员令O网页链接                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,10,9,11
2016-08-01 21:06:41,http://weibo.com/2015316631/E1A5Tpy7V?from=page_1001062015316631_profile&wvr=6&mod=weibotime,924d35427946b8416a8725473110322e,"
                                                                                                    东莞的朋友们注意！                                            
                                                                                                    东莞市防台风紧急动员令【东莞市突发事件预警发布中心】                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,21,16,16
2016-08-01 21:02:52,http://weibo.com/2015316631/E1A4l4w63?from=page_1001062015316631_profile&wvr=6&mod=weibotime,8159dbeb8858b5f7b6f6c352b1843ad0,"
                                                                                                    【预警】21时，你到家了么？还是正在赶回家的路上？此时珠三角附近一片台风红色预警信号，全省共34个地区台风红色预警正在生效，6个地区台风橙色预警正在生效，25个地区台风黄色预警正在生效，另外还有20个蓝色11个白色台风预警正在生效。愿大家都能安全到家！                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,42,67,37
2016-08-01 20:53:43,http://weibo.com/2015316631/E1A0CAeeE?from=page_1001062015316631_profile&wvr=6&mod=weibotime,f64cab5107a7050ad42ed96ddd7b56f3,"
                                                                                                    【20时台风消息】1日20时，“妮妲”（台风级）位于香港东偏南方向265公里的海面上，中心附近最大风力13级（38米/秒），中心最低气压965hPa，预计将以20到25公里的时速向西北方向移动，强度继续加强，8月2日早晨到上午将以强台风在汕尾到台山之间沿海登陆，正面袭击珠三角，将有大暴雨和10到14级大风。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,7,14,19
2016-08-01 20:48:16,http://weibo.com/2015316631/E1zYpsfV4?from=page_1001062015316631_profile&wvr=6&mod=weibotime,0666e0a52565c3b442273c7ce9105398,"
                                                                                                    全民了解台风“妮妲”                                            
                                                                                                    #2016年第4号台风妮妲# 【数说“妮妲”】今年第4号台风“妮妲”强度快速加强，仅2天时间就从热带低压加强为台风，进入南海后速度明显加快，移动速度从15-20公里加快至25公里左右，向广东奔袭，它将导致“风雨浪潮洪”五碰头，为此中央气象台发布今年首个红色预警。“妮妲”有什么特点？我...展开全文c                                                            ",http://ww2.sinaimg.cn/thumb180/594fb883jw1f6eifwt5uvj20hn0m0gpn.jpg	http://ww3.sinaimg.cn/thumb180/594fb883jw1f6eifwdvcaj20hq0dqgnr.jpg	http://ww2.sinaimg.cn/thumb180/594fb883jw1f6eifvkxy3j20ht0h5tbf.jpg	http://ww3.sinaimg.cn/thumb180/594fb883jw1f6eifucljqj20hv0goad9.jpg	http://ww3.sinaimg.cn/thumb180/594fb883jw1f6eift2l80j20i00bnmyh.jpg	http://ww3.sinaimg.cn/thumb180/594fb883jw1f6eiftoaytj20hk0dpmzs.jpg	http://ww3.sinaimg.cn/thumb180/594fb883jw1f6eifxfc12j20hu0eajtr.jpg	http://ww2.sinaimg.cn/thumb180/594fb883jw1f6eify1uaaj20hr0etwgg.jpg	http://ww3.sinaimg.cn/thumb180/594fb883jw1f6eifuxp9bj20hs0kego0.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,29,1,13
2016-08-01 20:38:23,http://weibo.com/2015316631/E1zUp259L?from=page_1001062015316631_profile&wvr=6&mod=weibotime,47d0d4f72a361e031a0d3c9d0f1a9241,"
                                                                                                    【19时台风消息】1日19时，“妮妲”（台风级）位于香港东偏南方向305公里的海面上，中心附近最大风力13级（38米/秒），中心最低气压965hPa，预计将以20到25公里的时速向西北方向移动，强度继续加强，快速趋向我省沿海，8月2日早晨到上午将以强台风在汕尾到台山之间沿海地区登陆，正面袭击珠三角，将有...展开全文c                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,15,11,17
2016-08-01 20:37:39,http://weibo.com/2015316631/E1zU6DFWY?from=page_1001062015316631_profile&wvr=6&mod=weibotime,0cc35ea5bf87c9cf57c9b8b4a344f07d,"
                                                                                                    #“妮妲”袭击珠三角#“妮妲”的风雨覆盖范围广，要特别注意台风外围的风雨影响，不要只关注台风登陆地点和登陆时间。图中雷达回波的红色区域，雨势较大。                                            
                                                                                                    #“妮妲”袭击珠三角#来感受一下台风“妮妲”的“魔掌”威力~（动图时间为19：06—:20：00）                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:04:29,13,3,10
