发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-03 05:29:37,http://weibo.comhttp://weibo.com/5990989832/E1MOwtE97,1eaa7de949791ddaf9ba07d5ac4b12dd,                                                    #台风妮妲#早安！台风的声音让我睡不着了。                                            ,,"
                        幸运的卓卓卓",http://weibo.com/u/5990989832?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,0
2016-08-03 04:12:35,http://weibo.comhttp://weibo.com/5465087768/E1Mjg6nmr,307ed5b36829e5adb48bd8e5b10ee975,                                                    如果他是吃货，台风来了算什么，老子无所畏惧#台风妮妲# 2佛山                                            ,http://ww2.sinaimg.cn/orj480/005XQWYUgw1f6g1qj9xoxj30qo0qogpg.jpg	http://ww3.sinaimg.cn/orj480/005XQWYUgw1f6g1qlf71aj30qo0qon1w.jpg	http://ww1.sinaimg.cn/thumb180/005XQWYUgw1f6g1qn0fxej30qo0qotby.jpg	http://ww2.sinaimg.cn/thumb180/005XQWYUgw1f6g1qnu4d6j30qo0qognu.jpg	http://ww2.sinaimg.cn/thumb180/005XQWYUgw1f6g1qrif5rj30qo0qo7aa.jpg,"
                        Tayeok甘伟奕",http://weibo.com/u/5465087768?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,0
2016-08-03 03:44:30,http://weibo.comhttp://weibo.com/5548451902/E1M7RdELE,f7f805392e295696a679d6cb9080eae8,"                                                    ""直击台风妮妲 汽车被吹倒着跑#台风妮妲# "", 分享自秒拍用户 @朝五晚九主题曲 的作品,一起来看~妮妲的威力L秒拍视频（使用#秒拍#录制）                                            ",,"
                        小燊_qing2015",http://weibo.com/u/5548451902?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,1
2016-08-03 02:50:04,http://weibo.comhttp://weibo.com/1743273907/E1LLLmWHB,e941d77ad95852acf403ba89c2cb137c,                                                    #台风妮妲#被滞留在南京32小时后终于在一脸懵逼中叫醒，登上回深的飞机；人在囧途且人在路上，不失为一种铭记！“妮妲”你真是有实力，在珠三角肆虐，在南京给我上了一课！ 2南京·南京禄口国际机场T2航站楼(上港路)                                            ,,"
                        一毛一-斌",http://weibo.com/u/1743273907?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,4
2016-08-03 02:43:04,http://weibo.comhttp://weibo.com/5336421685/E1LIVgJU2,9020560696ffdf4d4d2b09c68221bc74,                                                    #台风妮妲#民生无小事，新闻多关注。  O网页链接 2珠海·珠海金冠假日酒店                                            ,http://ww1.sinaimg.cn/orj480/005P953vgw1f6fz5kd6m6j30dw099dg8.jpg	http://ww4.sinaimg.cn/orj480/005P953vgw1f6fz5lonrwj30o90i2wgb.jpg,"
                        Q房网_小李飞刀的小李",http://weibo.com/u/5336421685?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,0
2016-08-03 02:32:41,http://weibo.comhttp://weibo.com/2965424395/E1LEI1bR3,fcaa595c5f595da3c2cdb89b55e106cf,                                                    #台风妮妲# 吓到我了被惊醒了                                            ,,"
                        Kingkung喲",http://weibo.com/u/2965424395?refer_flag=1008085010_,2016-08-08 10:43:31,0, 7,2
2016-08-03 02:32:33,http://weibo.comhttp://weibo.com/5456750731/E1LEEsb5p,2406b2d05168d943724f61c2a40d97bb,                                                    台风像高铁一样，绕开玉林。留下的只是连夜的雨#台风妮妲#                                            ,http://ww2.sinaimg.cn/orj480/005XhY8zgw1f6fyujsc02j30hs0bgjsx.jpg	http://ww4.sinaimg.cn/orj480/005XhY8zgw1f6fytv1ccqj30k00k0tah.jpg,"
                        RoSinryo",http://weibo.com/u/5456750731?refer_flag=1008085010_,2016-08-08 10:43:31, 1,0,1
2016-08-03 02:01:56,http://weibo.comhttp://weibo.com/2786705850/E1Lse9V55,380d3d5c1a5b33f11345b9bef99a403e,                                                    #台风妮妲##台风妮妲阴谋论# 不该约你的，结果这个点了，还睡不着。晚上吃完饭没事，从网咖出来你就大暴雨害得我淋得落汤鸡似的。晚上到现在一直下着大暴雨，雨声太大，再者挪车的人声音也发大。。。广州市南沙区大岗镇快被暴雨沦陷！！！                                            ,http://ww3.sinaimg.cn/orj480/a619c1bagw1f6fxu9ftt7j20ku112453.jpg	http://ww4.sinaimg.cn/thumb180/a619c1bagw1f6fxytyek4j20zk0qo45n.jpg	http://ww1.sinaimg.cn/thumb180/a619c1bagw1f6fxyv1yiij20k00zk770.jpg	http://ww2.sinaimg.cn/thumb180/a619c1bagw1f6fxyva0mdj20zk0qojwh.jpg	http://ww3.sinaimg.cn/thumb180/a619c1bagw1f6fxytagmzj20zd0qodlb.jpg	http://ww4.sinaimg.cn/thumb180/a619c1bagw1f6fxyw1d5mj20zd0qo44d.jpg	http://ww3.sinaimg.cn/thumb180/a619c1bagw1f6fxyx0qk3j20qo0zkgp1.jpg,"
                        Jerky_University",http://weibo.com/u/2786705850?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,2
2016-08-03 01:55:09,http://weibo.comhttp://weibo.com/5151633551/E1LptlrwO,f78b73ada6909e94b1879493a28b82ec,                                                    #台风妮妲#然而，为什么我还要开风扇……                                            ,,"
                        双眸失了神",http://weibo.com/u/5151633551?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,0
2016-08-03 01:43:20,http://weibo.comhttp://weibo.com/5201281117/E1LkG5sRA,373c15568f3d9b3369f26c2c734cf5a7,                                                    #台风妮妲#我这种人，活了20年，愣是不知道台风是什么风洪水是什么水根本无体验好吗依稀记得上次体验地震还是10年前                                            ,,"
                        Max_严格",http://weibo.com/u/5201281117?refer_flag=1008085010_,2016-08-08 10:43:31,0,0,0
