发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-01 12:42:48,http://weibo.comhttp://weibo.com/1923237421/E1wNmEUPP,153d415ee542bfa5d81e2569a72be6ef,                                                    #台风妮妲#广铁集团公司关于2016年7月31日至8月3日间部分旅客列车临时停运及调整运行区段的公告（一）O网页链接                                            ,,"
                        广州铁路",http://weibo.com/gztielu?refer_flag=1008085010_,2016-08-08 10:41:24, 16, 14,13
2016-07-25 21:52:30,http://weibo.comhttp://weibo.com/5672180808/E0wp0rhJL,be7b60be80620111459df98769467b51,                                                    【来了来了，台风来了】目前，在我国的 南海上有一个热带低压，它可能在明晚发展成#台风银河#，在它的影响下，川渝地区高温天会暂时缓解。EC预计下月初在南海还有一个台风，极有可能命名为#台风妮妲#，这两个台风都是朝着广东海南一线冲，是效久远，临近再看。                                            ,http://ww1.sinaimg.cn/thumb180/006bRTlejw1f66hnv9x4wj30k00f9dhd.jpg	http://ww2.sinaimg.cn/thumb180/006bRTlejw1f66hpjtzgtj30u01hc7wh.jpg	http://ww4.sinaimg.cn/thumb180/006bRTlejw1f66hpl47swj30u01hc4qp.jpg	http://ww3.sinaimg.cn/thumb180/006bRTlejw1f66hpmaq4ej30u01hc1kx.jpg	http://ww4.sinaimg.cn/thumb180/006bRTlejw1f66hpoqgfij30u01hc1kx.jpg	http://ww3.sinaimg.cn/thumb180/006bRTlejw1f66hpq712uj30u01hc4qp.jpg	http://ww4.sinaimg.cn/thumb180/006bRTlejw1f66hpsz42qj30u01hce81.jpg	http://ww3.sinaimg.cn/thumb180/006bRTlejw1f66hpvs5euj30u01hce81.jpg	http://ww2.sinaimg.cn/thumb180/006bRTlejw1f66hpx3yh7j30u01hce81.jpg,"
                        川渝气象爱好者",http://weibo.com/u/5672180808?refer_flag=1008085010_,2016-08-08 10:41:24, 3, 7,9
2016-08-01 23:11:39,http://weibo.comhttp://weibo.com/5672180808/E1AUC5ccB,675eec0fdd9f972b0e846010839d4c3f,"                                                    // @土豆108吃 ：我去，好怕自己睡着了，被痛醒，因为房子被吹塌了！                                            
                                    #台风妮妲# 【妮妲逼近】目前，广东珠三角附近甚至中央气象台全挂台风红色预警！目前妮妲距深圳不足350公里，雷达图上已可瞧见它的大部分环流！预计，它将在明天凌晨到上午以强台风级别登陆广东，关于登陆地点，各机构基本达成一致：香港到深圳一带沿海！登陆过后会扫过珠三角，今晚明天珠三角的风雨会...展开全文c
                                                                ",http://ww3.sinaimg.cn/orj480/006bRTlegw1f6egke7sygj30ko0e9tdm.jpg	http://ww1.sinaimg.cn/thumb180/006bRTlegw1f6egkg1ylyj30m00fzdlp.jpg	http://ww4.sinaimg.cn/thumb180/006bRTlegw1f6egkhwyhdj30nw0hxn69.jpg	http://ww1.sinaimg.cn/thumb180/006bRTlegw1f6egkk8g4yj30nw0ix0v3.jpg	http://ww3.sinaimg.cn/thumb180/006bRTlegw1f6egkj3bijj30nw0jd76s.jpg	http://ww3.sinaimg.cn/thumb180/006bRTlegw1f6egkmzc3dj30ld0de0vr.jpg,"
                        川渝气象爱好者",http://weibo.com/u/5672180808?refer_flag=1008085010_,2016-08-08 10:41:24,0, 1,4
2016-08-01 10:11:05,http://weibo.comhttp://weibo.com/1368589977/E1vNMjqNs,ccebefb0c94dde0598b9d380afb41c5d,                                                    #台风妮妲# 虎视眈眈，广深港珠澳等南部机场未来两天要经受考验。图片来自@Flightradar24---China 。                                            ,,"
                        FATIII",http://weibo.com/fatiii?refer_flag=1008085010_,2016-08-08 10:41:24, 14, 19,25
2016-07-31 15:20:09,http://weibo.comhttp://weibo.com/5672180808/E1ooJp0Aw,11f7b3d2dbbb0978b0987abf06ffbdbf,                                                    #台风妮妲# 发布了头条文章：《台风“妮妲”天气分析》 °台风“妮妲”天气分析                                            ,,"
                        川渝气象爱好者",http://weibo.com/u/5672180808?refer_flag=1008085010_,2016-08-08 10:41:24, 3, 3,13
